User_State,User_Land_Area,User_Category,User_Gender,User_Is_Loanee,User_Pays_Tax,User_Has_Aadhaar,User_Has_Land_Records,User_Has_Sowing_Cert,User_Has_DPR,User_Has_Caste_Cert,Target_Scheme,Match_Score,Is_Eligible,Missing_Docs_Str
Uttar Pradesh,12.6,SC,Female,1,1,1,1,0,0,1,PM-KISAN,0,0,Not Eligible (Income Tax Payer)
Uttar Pradesh,12.6,SC,Female,1,1,1,1,0,0,1,Rythu Bandhu,0,0,Not Eligible (State Mismatch - Telangana Only)
Uttar Pradesh,12.6,SC,Female,1,1,1,1,0,0,1,PMFBY (Crop Insurance),100,1,None
Uttar Pradesh,12.6,SC,Female,1,1,1,1,0,0,1,Agri Infra Fund (AIF),25,0,Detailed Project Report (DPR)
Uttar Pradesh,12.6,SC,Female,1,1,1,1,0,0,1,SMAM (Machinery Subsidy),100,1,None
Uttar Pradesh,4.6,ST,Female,1,1,1,1,0,0,0,PM-KISAN,0,0,Not Eligible (Income Tax Payer)
Uttar Pradesh,4.6,ST,Female,1,1,1,1,0,0,0,Rythu Bandhu,0,0,Not Eligible (State Mismatch - Telangana Only)
Uttar Pradesh,4.6,ST,Female,1,1,1,1,0,0,0,PMFBY (Crop Insurance),100,1,None
Uttar Pradesh,4.6,ST,Female,1,1,1,1,0,0,0,Agri Infra Fund (AIF),25,0,Detailed Project Report (DPR)
Uttar Pradesh,4.6,ST,Female,1,1,1,1,0,0,0,SMAM (Machinery Subsidy),95,1,Caste Certificate
Telangana,14.5,OBC,Male,1,0,1,1,0,0,0,PM-KISAN,100,1,None
Telangana,14.5,OBC,Male,1,0,1,1,0,0,0,Rythu Bandhu,100,1,None
Telangana,14.5,OBC,Male,1,0,1,1,0,0,0,PMFBY (Crop Insurance),100,1,None
Telangana,14.5,OBC,Male,1,0,1,1,0,0,0,Agri Infra Fund (AIF),25,0,Detailed Project Report (DPR)
Telangana,14.5,OBC,Male,1,0,1,1,0,0,0,SMAM (Machinery Subsidy),85,1,Land Records
Uttar Pradesh,4.7,ST,Male,1,0,1,1,0,1,1,PM-KISAN,100,1,None
Uttar Pradesh,4.7,ST,Male,1,0,1,1,0,1,1,Rythu Bandhu,0,0,Not Eligible (State Mismatch - Telangana Only)
Uttar Pradesh,4.7,ST,Male,1,0,1,1,0,1,1,PMFBY (Crop Insurance),100,1,None
Uttar Pradesh,4.7,ST,Male,1,0,1,1,0,1,1,Agri Infra Fund (AIF),100,1,None
Uttar Pradesh,4.7,ST,Male,1,0,1,1,0,1,1,SMAM (Machinery Subsidy),100,1,None
Karnataka,11.6,OBC,Male,0,1,1,1,0,0,0,PM-KISAN,0,0,Not Eligible (Income Tax Payer)
